synergy_id,method_1,method_2,synergy_score,synergy_type,revenue_multiplier,implementation_notes,example_stack,priority
SYN192,MM017,SWARM001,95,Apps + content + UGC + AI personas + portfolio + swarm,2.8,Stack: 500 clipper network tests hooks simultaneously. Launch apps via network.,,HIGH
SYN193,MM018,MM001,85,App factory + agency + expert + portfolio + SaaS,2.0,Stack: Optimize own apps first (case study). Sell as retainer + revenue share.,,MEDIUM
SYN194,MM018,MM005,85,App factory + agency + expert + portfolio + SaaS,2.0,Stack: Optimize own apps first (case study). Sell as retainer + revenue share.,,MEDIUM
SYN195,MM018,AI001,85,App factory + agency + expert + portfolio + SaaS,2.0,Stack: Optimize own apps first (case study). Sell as retainer + revenue share.,,MEDIUM
SYN196,MM018,MM019,85,App factory + agency + expert + portfolio + SaaS,2.0,Stack: Optimize own apps first (case study). Sell as retainer + revenue share.,,MEDIUM
SYN197,MM018,MM004,85,App factory + agency + expert + portfolio + SaaS,2.0,Stack: Optimize own apps first (case study). Sell as retainer + revenue share.,,MEDIUM
SYN198,MM019,MM017,95,Clipper network + paywall service + content + AI + X launch + apps,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.,,HIGH
SYN199,MM019,MM018,95,Clipper network + paywall service + content + AI + X launch + apps,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.,,HIGH
SYN200,MM019,MM006,95,Clipper network + paywall service + content + AI + X launch + apps,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.,,HIGH
SYN201,MM019,MM009,95,Clipper network + paywall service + content + AI + X launch + apps,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.,,HIGH
SYN202,MM019,MM020,95,Clipper network + paywall service + content + AI + X launch + apps,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.,,HIGH
SYN203,MM019,MM001,95,Clipper network + paywall service + content + AI + X launch + apps,2.7,Stack: Build 2-3 apps/mo. Launch via MM017. Optimize via MM018.,,HIGH
SYN204,MM020,MM001,90,Apps + info products + SaaS + expert + portfolio + newsletter,2.4,Stack: Build 5-8k followers. Launch product via comment hook.,,HIGH
SYN205,MM020,MM002,90,Apps + info products + SaaS + expert + portfolio + newsletter,2.4,Stack: Build 5-8k followers. Launch product via comment hook.,,HIGH
SYN206,MM020,MM004,90,Apps + info products + SaaS + expert + portfolio + newsletter,2.4,Stack: Build 5-8k followers. Launch product via comment hook.,,HIGH
SYN207,MM020,AI001,90,Apps + info products + SaaS + expert + portfolio + newsletter,2.4,Stack: Build 5-8k followers. Launch product via comment hook.,,HIGH
SYN208,MM020,MM019,90,Apps + info products + SaaS + expert + portfolio + newsletter,2.4,Stack: Build 5-8k followers. Launch product via comment hook.,,HIGH
SYN209,MM020,MM015,90,Apps + info products + SaaS + expert + portfolio + newsletter,2.4,Stack: Build 5-8k followers. Launch product via comment hook.,,HIGH
SYN210,MM021,ALL_METHODS,100,Amplifies every other method - authority layer,2.5,Stack: Build in public via @PRINTMAXXER. Google Jan 2026 favors authentic.,,HIGH
SYN211,MM022,MM016,75,TikTok Shop + paid ads + POD + arbitrage,1.8,"Stack: Find winners via arbitrage, scale via TikTok Shop + ads",,MEDIUM
SYN212,MM022,MM013,75,TikTok Shop + paid ads + POD + arbitrage,1.8,"Stack: Find winners via arbitrage, scale via TikTok Shop + ads",,MEDIUM
SYN213,MM022,MM024,75,TikTok Shop + paid ads + POD + arbitrage,1.8,"Stack: Find winners via arbitrage, scale via TikTok Shop + ads",,MEDIUM
SYN214,MM022,MM023,75,TikTok Shop + paid ads + POD + arbitrage,1.8,"Stack: Find winners via arbitrage, scale via TikTok Shop + ads",,MEDIUM
SYN215,MM023,MM022,80,Dropship + TikTok Shop + POD + Etsy digital,1.9,"Stack: Find demand then source, list on multiple platforms",,MEDIUM
SYN216,MM023,MM016,80,Dropship + TikTok Shop + POD + Etsy digital,1.9,"Stack: Find demand then source, list on multiple platforms",,MEDIUM
SYN217,MM023,MM024,80,Dropship + TikTok Shop + POD + Etsy digital,1.9,"Stack: Find demand then source, list on multiple platforms",,MEDIUM
SYN218,MM023,MM036,80,Dropship + TikTok Shop + POD + Etsy digital,1.9,"Stack: Find demand then source, list on multiple platforms",,MEDIUM
SYN219,MM024,MM016,70,TikTok Shop + content farm + lifestyle + Etsy digital,1.6,"Stack: POD designs promoted via content, sold on multiple platforms",,MEDIUM
SYN220,MM024,MM006,70,TikTok Shop + content farm + lifestyle + Etsy digital,1.6,"Stack: POD designs promoted via content, sold on multiple platforms",,MEDIUM
SYN221,MM024,AI006,70,TikTok Shop + content farm + lifestyle + Etsy digital,1.6,"Stack: POD designs promoted via content, sold on multiple platforms",,MEDIUM
SYN222,MM024,MM036,70,TikTok Shop + content farm + lifestyle + Etsy digital,1.6,"Stack: POD designs promoted via content, sold on multiple platforms",,MEDIUM
SYN223,MM025,MM002,80,Info products + newsletter + Etsy digital + KDP,2.0,Stack: Templates -> email capture -> course funnel,,MEDIUM
SYN224,MM025,MM015,80,Info products + newsletter + Etsy digital + KDP,2.0,Stack: Templates -> email capture -> course funnel,,MEDIUM
SYN225,MM025,MM036,80,Info products + newsletter + Etsy digital + KDP,2.0,Stack: Templates -> email capture -> course funnel,,MEDIUM
SYN226,MM025,MM026,80,Info products + newsletter + Etsy digital + KDP,2.0,Stack: Templates -> email capture -> course funnel,,MEDIUM
SYN227,MM026,MM025,65,Digital products + info products + Etsy digital,1.5,"Stack: KDP builds catalog, templates capture emails",,MEDIUM
SYN228,MM026,MM002,65,Digital products + info products + Etsy digital,1.5,"Stack: KDP builds catalog, templates capture emails",,MEDIUM
SYN229,MM026,MM036,65,Digital products + info products + Etsy digital,1.5,"Stack: KDP builds catalog, templates capture emails",,MEDIUM
SYN230,MM027,MM004,75,SaaS + tech explainers + micro-SaaS + tech expert,1.7,Stack: AI wrappers -> tech content promotes -> expert credibility,,MEDIUM
SYN231,MM027,CF009,75,SaaS + tech explainers + micro-SaaS + tech expert,1.7,Stack: AI wrappers -> tech content promotes -> expert credibility,,MEDIUM
SYN232,MM027,MM028,75,SaaS + tech explainers + micro-SaaS + tech expert,1.7,Stack: AI wrappers -> tech content promotes -> expert credibility,,MEDIUM
SYN233,MM027,AI001,75,SaaS + tech explainers + micro-SaaS + tech expert,1.7,Stack: AI wrappers -> tech content promotes -> expert credibility,,MEDIUM
SYN234,MM028,MM004,75,SaaS + AI wrapper + tech explainers + expert,1.8,Stack: Micro-SaaS -> content promotes -> enterprise upsell,,MEDIUM
SYN235,MM028,MM027,75,SaaS + AI wrapper + tech explainers + expert,1.8,Stack: Micro-SaaS -> content promotes -> enterprise upsell,,MEDIUM
SYN236,MM028,CF009,75,SaaS + AI wrapper + tech explainers + expert,1.8,Stack: Micro-SaaS -> content promotes -> enterprise upsell,,MEDIUM
SYN237,MM028,AI001,75,SaaS + AI wrapper + tech explainers + expert,1.8,Stack: Micro-SaaS -> content promotes -> enterprise upsell,,MEDIUM
SYN238,MM029,MM005,80,Agency services + cold outbound + white label,1.9,Stack: Rank and rent -> agency services upsell,,MEDIUM
SYN239,MM029,MM007,80,Agency services + cold outbound + white label,1.9,Stack: Rank and rent -> agency services upsell,,MEDIUM
SYN240,MM029,MM033,80,Agency services + cold outbound + white label,1.9,Stack: Rank and rent -> agency services upsell,,MEDIUM
SYN241,MM030,MM002,90,Info products + niche experts + paid community + newsletter,2.3,Stack: Course -> community -> coaching ladder,,HIGH
SYN242,MM030,AI001,90,Info products + niche experts + paid community + newsletter,2.3,Stack: Course -> community -> coaching ladder,,HIGH
SYN243,MM030,MM031,90,Info products + niche experts + paid community + newsletter,2.3,Stack: Course -> community -> coaching ladder,,HIGH
SYN244,MM030,MM015,90,Info products + niche experts + paid community + newsletter,2.3,Stack: Course -> community -> coaching ladder,,HIGH
SYN245,MM031,MM030,85,Course creator + niche experts + info products + newsletter,2.1,Stack: Community -> course -> coaching ecosystem,,MEDIUM
SYN246,MM031,AI001,85,Course creator + niche experts + info products + newsletter,2.1,Stack: Community -> course -> coaching ecosystem,,MEDIUM
SYN247,MM031,MM002,85,Course creator + niche experts + info products + newsletter,2.1,Stack: Community -> course -> coaching ecosystem,,MEDIUM
SYN248,MM031,MM015,85,Course creator + niche experts + info products + newsletter,2.1,Stack: Community -> course -> coaching ecosystem,,MEDIUM
SYN249,MM032,MM015,85,Newsletter + info products + affiliate + expert,2.2,Stack: Free newsletter -> premium tier -> course upsell,,MEDIUM
SYN250,MM032,MM002,85,Newsletter + info products + affiliate + expert,2.2,Stack: Free newsletter -> premium tier -> course upsell,,MEDIUM
SYN251,MM032,MM003,85,Newsletter + info products + affiliate + expert,2.2,Stack: Free newsletter -> premium tier -> course upsell,,MEDIUM
SYN252,MM032,AI001,85,Newsletter + info products + affiliate + expert,2.2,Stack: Free newsletter -> premium tier -> course upsell,,MEDIUM
SYN253,MM033,MM005,70,Agency services + SaaS + local lead gen,1.6,Stack: White label tools for agency delivery,,MEDIUM
SYN254,MM033,MM004,70,Agency services + SaaS + local lead gen,1.6,Stack: White label tools for agency delivery,,MEDIUM
SYN255,MM033,MM029,70,Agency services + SaaS + local lead gen,1.6,Stack: White label tools for agency delivery,,MEDIUM
SYN256,MM034,CF011,60,Crypto news + algo trading + newsletter,1.4,Stack: Memecoin research -> premium alpha signals (HIGH RISK),,MEDIUM
SYN257,MM034,MM012,60,Crypto news + algo trading + newsletter,1.4,Stack: Memecoin research -> premium alpha signals (HIGH RISK),,MEDIUM
SYN258,MM034,MM015,60,Crypto news + algo trading + newsletter,1.4,Stack: Memecoin research -> premium alpha signals (HIGH RISK),,MEDIUM
SYN259,MM035,MM014,85,YouTube longform + content farm + Shorts + faceless,2.3,Stack: Automated YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN260,MM035,MM006,85,YouTube longform + content farm + Shorts + faceless,2.3,Stack: Automated YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN261,MM035,CF013,85,YouTube longform + content farm + Shorts + faceless,2.3,Stack: Automated YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN262,MM035,MM039,85,YouTube longform + content farm + Shorts + faceless,2.3,Stack: Automated YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN263,MM036,MM025,75,Digital products + POD + KDP,1.7,Stack: Etsy digital -> templates -> email funnel,,MEDIUM
SYN264,MM036,MM024,75,Digital products + POD + KDP,1.7,Stack: Etsy digital -> templates -> email funnel,,MEDIUM
SYN265,MM036,MM026,75,Digital products + POD + KDP,1.7,Stack: Etsy digital -> templates -> email funnel,,MEDIUM
SYN266,MM037,CF006,80,Clip channels + streamer clips + Shorts + TikTok Shop,1.9,Stack: Creativity program revenue + TikTok Shop sales,,MEDIUM
SYN267,MM037,MM010,80,Clip channels + streamer clips + Shorts + TikTok Shop,1.9,Stack: Creativity program revenue + TikTok Shop sales,,MEDIUM
SYN268,MM037,CF013,80,Clip channels + streamer clips + Shorts + TikTok Shop,1.9,Stack: Creativity program revenue + TikTok Shop sales,,MEDIUM
SYN269,MM037,MM016,80,Clip channels + streamer clips + Shorts + TikTok Shop,1.9,Stack: Creativity program revenue + TikTok Shop sales,,MEDIUM
SYN270,MM038,MM003,70,Affiliate sites + digital products + Etsy digital,1.6,Stack: Pinterest drives affiliate + digital product traffic,,MEDIUM
SYN271,MM038,MM025,70,Affiliate sites + digital products + Etsy digital,1.6,Stack: Pinterest drives affiliate + digital product traffic,,MEDIUM
SYN272,MM038,MM036,70,Affiliate sites + digital products + Etsy digital,1.6,Stack: Pinterest drives affiliate + digital product traffic,,MEDIUM
SYN273,MM039,MM035,80,YouTube automation + longform + Shorts + content farm,2.0,Stack: Faceless YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN274,MM039,MM014,80,YouTube automation + longform + Shorts + content farm,2.0,Stack: Faceless YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN275,MM039,CF013,80,YouTube automation + longform + Shorts + content farm,2.0,Stack: Faceless YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN276,MM039,MM006,80,YouTube automation + longform + Shorts + content farm,2.0,Stack: Faceless YouTube -> ad revenue -> affiliate monetization,,MEDIUM
SYN277,MM040,AI001,75,Niche experts + X launch + newsletter + info products,1.7,Stack: Expert content -> X monetization -> newsletter -> products,,MEDIUM
SYN278,MM040,MM020,75,Niche experts + X launch + newsletter + info products,1.7,Stack: Expert content -> X monetization -> newsletter -> products,,MEDIUM
SYN279,MM040,MM015,75,Niche experts + X launch + newsletter + info products,1.7,Stack: Expert content -> X monetization -> newsletter -> products,,MEDIUM
SYN280,MM040,MM002,75,Niche experts + X launch + newsletter + info products,1.7,Stack: Expert content -> X monetization -> newsletter -> products,,MEDIUM
SYN281,MM041,MM003,85,Affiliate sites + SaaS + expert + rapid build,2.2,Stack: Directory builds -> premium listings -> SEO authority,,MEDIUM
SYN282,MM041,MM004,85,Affiliate sites + SaaS + expert + rapid build,2.2,Stack: Directory builds -> premium listings -> SEO authority,,MEDIUM
SYN283,MM041,AI001,85,Affiliate sites + SaaS + expert + rapid build,2.2,Stack: Directory builds -> premium listings -> SEO authority,,MEDIUM
SYN284,MM041,MM044,85,Affiliate sites + SaaS + expert + rapid build,2.2,Stack: Directory builds -> premium listings -> SEO authority,,MEDIUM
SYN285,MM042,MM001,80,App factory + SaaS + X launch + rapid build,2.0,Stack: Presale validates -> only build winners -> rapid monetization,,MEDIUM
SYN286,MM042,MM004,80,App factory + SaaS + X launch + rapid build,2.0,Stack: Presale validates -> only build winners -> rapid monetization,,MEDIUM
SYN287,MM042,MM020,80,App factory + SaaS + X launch + rapid build,2.0,Stack: Presale validates -> only build winners -> rapid monetization,,MEDIUM
SYN288,MM042,MM044,80,App factory + SaaS + X launch + rapid build,2.0,Stack: Presale validates -> only build winners -> rapid monetization,,MEDIUM
SYN289,MM043,MM009,75,AI influencer + clipper network + fitness + expert,1.8,Stack: Revenue share aligns creator incentives long-term,,MEDIUM
SYN290,MM043,MM017,75,AI influencer + clipper network + fitness + expert,1.8,Stack: Revenue share aligns creator incentives long-term,,MEDIUM
SYN291,MM043,AI005,75,AI influencer + clipper network + fitness + expert,1.8,Stack: Revenue share aligns creator incentives long-term,,MEDIUM
SYN292,MM043,AI001,75,AI influencer + clipper network + fitness + expert,1.8,Stack: Revenue share aligns creator incentives long-term,,MEDIUM
SYN293,MM044,MM041,90,Directory + waitlist + apps + micro-SaaS,2.5,Stack: Build fast -> monetize fast -> iterate winners,,HIGH
SYN294,MM044,MM042,90,Directory + waitlist + apps + micro-SaaS,2.5,Stack: Build fast -> monetize fast -> iterate winners,,HIGH
SYN295,MM044,MM001,90,Directory + waitlist + apps + micro-SaaS,2.5,Stack: Build fast -> monetize fast -> iterate winners,,HIGH
SYN296,MM044,MM028,90,Directory + waitlist + apps + micro-SaaS,2.5,Stack: Build fast -> monetize fast -> iterate winners,,HIGH
SYN297,MM045,MM006,90,YouTube content + course upsell + app affiliate + longform,2.4,"Stack: YouTube establishes credibility, course monetizes",,HIGH
SYN298,MM045,MM002,90,YouTube content + course upsell + app affiliate + longform,2.4,"Stack: YouTube establishes credibility, course monetizes",,HIGH
SYN299,MM045,MM001,90,YouTube content + course upsell + app affiliate + longform,2.4,"Stack: YouTube establishes credibility, course monetizes",,HIGH
SYN300,MM045,MM014,90,YouTube content + course upsell + app affiliate + longform,2.4,"Stack: YouTube establishes credibility, course monetizes",,HIGH
SYN301,MM046,MM003,95,Newsletter + courses + digital products + affiliate,2.5,Stack: Newsletter audience -> digital products monetize,,HIGH
SYN302,MM046,MM002,95,Newsletter + courses + digital products + affiliate,2.5,Stack: Newsletter audience -> digital products monetize,,HIGH
SYN303,MM046,MM006,95,Newsletter + courses + digital products + affiliate,2.5,Stack: Newsletter audience -> digital products monetize,,HIGH
SYN304,MM046,MM015,95,Newsletter + courses + digital products + affiliate,2.5,Stack: Newsletter audience -> digital products monetize,,HIGH
SYN305,MM070,MM005,88,Agency services + cold outbound + local lead gen + white label,2.1,Stack: Scraper finds prospects -> AI generates preview -> cold email closes -> scales via VA for URL compilation,,MEDIUM
SYN306,MM070,MM007,88,Agency services + cold outbound + local lead gen + white label,2.1,Stack: Scraper finds prospects -> AI generates preview -> cold email closes -> scales via VA for URL compilation,,MEDIUM
SYN307,MM070,MM029,88,Agency services + cold outbound + local lead gen + white label,2.1,Stack: Scraper finds prospects -> AI generates preview -> cold email closes -> scales via VA for URL compilation,,MEDIUM
SYN308,MM070,MM033,88,Agency services + cold outbound + local lead gen + white label,2.1,Stack: Scraper finds prospects -> AI generates preview -> cold email closes -> scales via VA for URL compilation,,MEDIUM
